sport,country,league,season,match_time,home_team,away_team,scraped_date
football,United Arab Emirates,UAE League,2020/2021,17.12. 09:00,Al Wasl,Al Jazira,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Shakhtar Donetsk,Desna,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Nikopol,Kryvbas 2020,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,08.01. 04:50,Al Thaid,Dibba Al Fujairah,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Mykolaiv,Kramatorsk,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Minaj U21,Shakhtar Donetsk U21,2020-12-15
football,United Arab Emirates,UAE League,2020/2021,18.12. 06:00,Al Fujairah,Shabab Al-Ahli Dubai,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Vorskla Poltava,Dnipro-1,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Obolon 2,Nyva Vinnytsya,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,08.01. 04:50,Al-Taawon,Al Hamriyah,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Nyva Ternopil,Hirnyk-Sport,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Oleksandriya U21,Kolos Kovalivka U21,2020-12-15
football,United Arab Emirates,UAE League,2020/2021,18.12. 06:00,Ittihad Kalba,Al Wahda,2020-12-15
football,Ukraine,Premier League,2020/2021,20.03. 08:00,Desna,Dnipro-1,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Peremoga Dnipro,MFC Metalurh,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,08.01. 04:50,Masfut,Al Arabi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,VPK-Agro,Obolon,2020-12-15
football,Ukraine,Youth League,2020/2021,07.05. 05:00,Rukh Lviv U21,Olimpik Donetsk U21,2020-12-15
football,United Arab Emirates,UAE League,2020/2021,18.12. 09:00,Ajman,Khorfakkan,2020-12-15
football,Ukraine,Premier League,2020/2021,20.03. 08:00,Dyn. Kyiv,Rukh Lviv,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Real Pharma,Metal Kharkiv,2020-12-15
